n	reviewId	meaningSha256	ref	original	meaning	evidence	strongLemma	glossLocator
1	d75927928f88069a4dd6d24fb38bc0f630e1e643c2d28e8e4f7e9c6a6c53331f	sha256:a3aa52e45b08465f5d1a790625cc3c17c2fb5d390b58dd1c9f01048a2042fa83	Matei 1:1-17	βίβλος γενέσεως	carte a obârșiei sau a genealogiei; literal, «carte» + «origine/naștere».	unique	G0976 + G1078 βίβλος γένεσις	book; origin @ TBESG line 1098 + TBESG line 1204
2	86f42d1b3981dced999f41e40465bf155e6d942baade11fba60e8e7e67a044c6	sha256:67be0b62df9a915c5200996f02d0f2c9a8a7b3751fd05be07f65ff5404c2fd2b	Matei 1:1-17	Χριστός	Unsul; ca titlu, Mesia sau Hristosul.	unique	G5547 Χριστός	Christ @ TBESG line 5715
3	e4eed847288063e8cc34ab28dce77dee6a6f4c16bb3f676bde2bb776200ad8ac	sha256:52c2d8a611a0699d382401d3a2a809f1ad88e34c7243decfb18cec006f103d43	Matei 1:18-25	Ἰησοῦς	Isus; forma grecească a numelui Iosua/Ieșua.	unique	G2424 Ἰησοῦς	Jesus / Joshua @ TBESG lines 2577-2581
4	6ec7535761a4cce359e2fe9d01e083ace706abf12ab57704843a42dc1decc989	sha256:2c914a1ce2c917bd40f6584388cb6b2baf9eaf5e84210cbfc34b3f50a8b58721	Matei 1:18-25	Ἐμμανουήλ	Emanuil; nume transliterat, explicat în Matei 1:23 prin «Dumnezeu este cu noi».	unique	G1694 Ἐμμανουήλ	Immanuel @ TBESG line 1835
5	86ce0085657a93cccb8543ffb1af303361f03e374e4c056a058759ccc6da3594	sha256:829a6197644c6a6f0a43dabc0eb90a2e931eb5937da6908cc76c2b369702c9dc	Matei 2:1-12	μάγοι	magi; înțelepți sau savanți.	unique	G3097 μάγος	sage @ TBESG line 3299
6	4b086fe0ad036d2aff6eae5cc70d041217ed5222e6c273278074a29a95ee9909	sha256:6f7f356c278d9d2fceb29b34ff0facb7ecf6bafffa200ad6ac53360730b87b21	Matei 2:1-12	προσκυνέω	a se pleca, a aduce omagiu, a se închina.	unique	G4352 προσκυνέω	to worship @ TBESG line 4482
7	85e8cecb1f12a89ac73eefaf6c92697047ec1569732bb90ecc0ab01a91b7152b	sha256:579be23bc8dae311ddb7e4f149bb42b342645ae9c0c8753d85473f105df689d7	Matei 3:1-12	μετανοεῖτε	pocăiți-vă; verbul μετανοέω înseamnă a se pocăi, a-și schimba gândirea.	unique	G3340 μετανοέω	to repent @ TBESG line 3453
8	eb193d5be0831d147b69ad25698dbe6a55e71f3b0ae869dc3081d90a9ee90600	sha256:bb75de4b31b86319775ab4b0a5d144fcd5c17b61c238758a916ee0ece6438467	Matei 3:1-12	καρπός	rod, fruct; figurat, rezultat.	ambiguous	G2590:καρπός || G7804:καρπός	fruit@TBESG line 2781 || wrist@TBESG line 7584
9	b9a8fd59f51c4355f3ce64cb32d741a916984d9c4c7d34a20af74d84ff0a329d	sha256:c0109d7df12249780b1df39c43610925865a786840d7295bbb0cd0577b22671d	Matei 3:13-17	βαπτίζω	a boteza; în uz literal, a cufunda sau a scufunda.	unique	G0907 βαπτίζω	to baptize @ TBESG line 1025
10	f8be3254b33eb7cef4e9fb199d5f4bbe76b6950de4e068dce3f81472656b71c7	sha256:40fc775438cd40e662dbefc783755ad0e8af70d27c8ba8f949076f49d5194fab	Matei 3:13-17	ἀγαπητός	iubit, preaiubit. Mărturia Tatălui despre Fiul.	unique	G0027 ἀγαπητός	beloved @ TBESG line 119
11	b52ec9557d91f7fbe29757e5c3de9bb0d8df82d2af75b5766a624a2517d91c57	sha256:89bd0be0bc9cfe5442e95f438c749d6635d6aba03579127204cb763ec2c08183	Matei 4:1-11	πειράζω	a încerca sau a ispiti. Contextul arată dacă este o probă care descoperă credincioșia ori o ademenire spre rău.	unique	G3985 πειράζω	to test/tempt: tempt / to test/tempt: test / to test/tempt: try @ TBESG lines 4104-4106
12	13c90047002f3e322384b6b54fbf8b5e2ee6301c63b5434083a4088eb26548c8	sha256:6e341e767c779d72300350c6b517b673102f090c61ae43429fc34800a5813a8e	Matei 4:18-22	δεῦτε ὀπίσω μου	veniți după Mine; literal, «veniți» + «după/în urma» + «Mine».	unique	G1205 + G3694 + G1473 δεῦτε ὀπίσω ἐγώ	come; after; I/we @ TBESG line 1337 + TBESG line 3810 + TBESG line 1605
13	4db286137a9e37f77d8d178f462a719f146d5e7e2fcd2fed753723bfd0113acd	sha256:14857dea1c6c10fce7553ebfef0e996b4789c05cec1e7b16499c03c57c82ccfa	Matei 5:1-12	μακάριοι	fericiți, binecuvântați.	unique	G3107 μακάριος	blessed @ TBESG line 3309
14	f9a0e87bd5a3c11944128ad4b0f281acffea69ad2ffa9f50ac3091db745f33e5	sha256:46edf428b47fa36bd09b226768f3df1707571df45b6cf4463e29817a08210c1a	Matei 5:1-12	πτωχοὶ τῷ πνεύματι	săraci în duh; πτωχός = sărac/nevoiaș, πνεῦμα = duh/spirit.	unique	G4434 + G3588 + G4151 πτωχός ὁ πνεῦμα	poor; the/this/who; spirit/breath: spirit / spirit/breath: breath @ TBESG line 4567 + TBESG line 3702 + TBESG lines 4276-4277
15	2c4630d247a2b961447e3d2017a9e7427271e1951f58d74d3db2738579b36cec	sha256:80184291b48627bd7a4ad331c88a282b742801b63d9bc45420aee9f942ce9cbf	Matei 5:17-20	πληρόω	a umple, a împlini, a aduce la deplinătate.	unique	G4137 πληρόω	to fulfill @ TBESG line 4262
